"","","","","/項目 コード","H8101","H8102","H8103","H810401","H810402","H810407","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810401_住居専用地域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810407_工業専用地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"2011100000","2011年度","43201","（旧）熊本県 熊本市","","35433","12990","10148","6231.3","2037.1","0.0","920.1","1555.1"
"2010100000","2010年度","43201","（旧）熊本県 熊本市","","35433","12990","10148","6231.1","2037.1","0.0","920.1","1555.1"
"2009100000","2009年度","14209","（旧）神奈川県 相模原市","","21707","4290","6740","3745.9","1849.2","415.0","500.0","745.0"
"2009100000","2009年度","43201","（旧）熊本県 熊本市","","35433","12990","10148","6231.1","2037.1","0.0","920.1","1555.1"
"2008100000","2008年度","14209","（旧）神奈川県 相模原市","","21707","4290","6740","3745.9","1849.2","430.0","485.0","745.0"
"2008100000","2008年度","43201","（旧）熊本県 熊本市","","25234","13043","10095","6007.9","1884.8","0.0","884.1","1444.0"
"2007100000","2007年度","14209","（旧）神奈川県 相模原市","","21707","4290","6740","3745.9","1849.2","430.0","485.0","745.0"
"2007100000","2007年度","43201","（旧）熊本県 熊本市","","23275","13043","10095","5952.0","1855.6","0.0","879.7","1422.2"
"2006100000","2006年度","14209","（旧）神奈川県 相模原市","","21707","4290","6740","3745.9","1849.2","430.0","485.0","745.0"
"2006100000","2006年度","15201","（旧）新潟県 新潟市","","60769","31985","11423","4171.0","4412.5","749.0","1079.7","2110.0"
"2006100000","2006年度","22202","（旧）静岡県 浜松市","","46768","28901","9270","3119.1","3885.3","375.0","901.9","1571.4"
"2006100000","2006年度","43201","（旧）熊本県 熊本市","","23275","13043","10095","5952.6","1857.4","0.0","877.3","1422.2"
"2005100000","2005年度","14209","（旧）神奈川県 相模原市","","17289","2570","6470","3428.9","1698.2","421.0","478.0","745.0"
"2005100000","2005年度","15201","（旧）新潟県 新潟市","","60769","31985","11423","4171.0","4412.5","749.0","1079.7","2110.0"
"2005100000","2005年度","22202","（旧）静岡県 浜松市","","46768","28900","9271","3118.7","3884.2","375.0","901.9","1571.6"
"2005100000","2005年度","43201","（旧）熊本県 熊本市","","23275","13043","10095","5959.1","1859.3","0.0","868.7","1422.4"
"2004100000","2004年度","14209","（旧）神奈川県 相模原市","","***","2570","***","3104.0","1559.0","421.0","444.0","725.0"
"2004100000","2004年度","15201","（旧）新潟県 新潟市","","***","31985","***","4110.0","4188.5","749.0","1046.7","2021.0"
"2004100000","2004年度","22202","（旧）静岡県 浜松市","","***","18144","***","2055.0","3216.0","250.0","772.0","1303.0"
"2004100000","2004年度","43201","（旧）熊本県 熊本市","","***","13043","***","5959.0","1859.0","0.0","869.0","1422.0"
"2003100000","2003年度","14209","（旧）神奈川県 相模原市","","***","2570","***","3105.0","1559.0","421.0","444.0","725.0"
"2003100000","2003年度","15201","（旧）新潟県 新潟市","","***","14677","***","3100.0","2467.0","647.0","799.0","1561.0"
"2003100000","2003年度","22202","（旧）静岡県 浜松市","","***","18130","***","2055.0","3216.0","250.0","772.0","1303.0"
"2003100000","2003年度","43201","（旧）熊本県 熊本市","","***","13043","***","5959.0","1859.0","0.0","869.0","1422.0"
"2002100000","2002年度","14209","（旧）神奈川県 相模原市","","***","2570","***","3105.0","1559.0","421.0","444.0","725.0"
"2002100000","2002年度","15201","（旧）新潟県 新潟市","","***","14674","***","3100.0","2467.0","647.0","799.0","1561.0"
"2002100000","2002年度","22202","（旧）静岡県 浜松市","","***","18130","***","2055.0","3216.0","250.0","772.0","1303.0"
"2002100000","2002年度","43201","（旧）熊本県 熊本市","","***","13096","***","5958.9","1859.2","0.0","869.0","1369.0"
"2001100000","2001年度","14209","（旧）神奈川県 相模原市","","***","2570","***","3105.0","1559.0","421.0","444.0","725.0"
"2001100000","2001年度","15201","（旧）新潟県 新潟市","","***","14674","***","3100.0","2467.0","647.0","799.0","1561.0"
"2001100000","2001年度","22202","（旧）静岡県 浜松市","","***","18130","***","2055.0","3216.0","250.0","772.0","1303.0"
"2001100000","2001年度","43201","（旧）熊本県 熊本市","","***","13096","***","5958.9","1859.2","0.0","869.0","1369.0"
"2000100000","2000年度","14209","（旧）神奈川県 相模原市","","***","2570","***","3105.0","1559.0","421.0","444.0","725.0"
"2000100000","2000年度","15201","（旧）新潟県 新潟市","","***","14674","***","3100.0","2467.0","647.0","799.0","1561.0"
"2000100000","2000年度","22202","（旧）静岡県 浜松市","","***","18130","***","2139.0","3148.0","255.0","752.0","1302.0"
"2000100000","2000年度","43201","（旧）熊本県 熊本市","","***","13096","***","5958.9","1859.2","0.0","869.0","1369.0"
"1999100000","1999年度","14209","（旧）神奈川県 相模原市","","***","2570","***","3105.0","1559.0","421.0","444.0","725.0"
"1999100000","1999年度","15201","（旧）新潟県 新潟市","","***","12531","***","2986.9","2295.6","647.0","776.5","1411.6"
"1999100000","1999年度","22202","（旧）静岡県 浜松市","","***","18130","***","2139.0","3148.0","255.0","752.0","1302.0"
"1999100000","1999年度","43201","（旧）熊本県 熊本市","","***","13096","***","5966.0","1852.0","0.0","869.0","1369.0"
"1998100000","1998年度","14209","（旧）神奈川県 相模原市","","***","2608","***","3102.9","1559.0","421.0","444.0","725.0"
"1998100000","1998年度","15201","（旧）新潟県 新潟市","","***","13014","***","2889.0","2231.0","647.0","777.0","1377.0"
"1998100000","1998年度","22202","（旧）静岡県 浜松市","","***","17906","***","2139.0","3148.0","255.0","752.0","1302.0"
"1998100000","1998年度","43201","（旧）熊本県 熊本市","","***","13096","***","5966.6","1861.1","0.0","859.4","1369.4"
"1997100000","1997年度","14209","（旧）神奈川県 相模原市","","***","2608","***","3102.9","1564.0","421.0","430.0","734.0"
"1997100000","1997年度","15201","（旧）新潟県 新潟市","","***","13014","***","2889.0","2231.0","647.0","777.0","1377.0"
"1997100000","1997年度","22202","（旧）静岡県 浜松市","","***","18130","***","2139.0","3148.0","255.0","752.0","1302.0"
"1997100000","1997年度","43201","（旧）熊本県 熊本市","","***","13097","***","5950.0","1830.0","0.0","859.0","1367.0"
"1996100000","1996年度","14209","（旧）神奈川県 相模原市","","***","2608","***","3102.9","1564.0","421.0","430.0","734.0"
"1996100000","1996年度","15201","（旧）新潟県 新潟市","","***","13014","***","2889.0","2231.0","647.0","777.0","1377.0"
"1996100000","1996年度","22202","（旧）静岡県 浜松市","","***","18183","***","2139.0","3148.0","255.0","752.0","1302.0"
"1996100000","1996年度","43201","（旧）熊本県 熊本市","","***","13097","***","5950.0","1829.0","0.0","859.0","1367.0"
"1995100000","1995年度","14209","（旧）神奈川県 相模原市","","***","2608","***","-","-","-","-","-"
"1995100000","1995年度","15201","（旧）新潟県 新潟市","","***","13048","***","-","-","-","-","-"
"1995100000","1995年度","22202","（旧）静岡県 浜松市","","***","18183","***","-","-","-","-","-"
"1995100000","1995年度","43201","（旧）熊本県 熊本市","","***","13097","***","-","-","-","-","-"
"1994100000","1994年度","14209","（旧）神奈川県 相模原市","","***","2608","***","2882.9","1808.0","422.0","414.0","726.0"
"1994100000","1994年度","15201","（旧）新潟県 新潟市","","***","13048","***","2959.3","2133.7","647.0","772.0","1374.4"
"1994100000","1994年度","22202","（旧）静岡県 浜松市","","***","18396","***","1776.7","3242.9","204.7","764.0","1339.7"
"1994100000","1994年度","43201","（旧）熊本県 熊本市","","***","13127","***","6039.9","1945.2","0.0","717.0","1274.0"
"1993100000","1993年度","14209","（旧）神奈川県 相模原市","","***","2661","***","2851.9","1790.0","422.0","414.0","722.0"
"1993100000","1993年度","15201","（旧）新潟県 新潟市","","***","13048","***","2959.0","2134.0","647.0","772.0","1375.0"
"1993100000","1993年度","22202","（旧）静岡県 浜松市","","***","18396","***","1776.7","3242.9","204.7","764.0","1339.7"
"1993100000","1993年度","43201","（旧）熊本県 熊本市","","***","13160","***","6007.9","1945.2","0.0","717.0","1274.0"
"1992100000","1992年度","14209","（旧）神奈川県 相模原市","","***","2661","***","2851.9","1790.0","422.0","414.0","722.0"
"1992100000","1992年度","15201","（旧）新潟県 新潟市","","***","13107","***","2951.0","2128.1","647.0","771.0","1328.0"
"1992100000","1992年度","22202","（旧）静岡県 浜松市","","***","18396","***","1776.7","3242.9","204.7","764.0","1339.0"
"1992100000","1992年度","43201","（旧）熊本県 熊本市","","***","13160","***","6007.9","1945.2","0.0","717.0","1274.0"
"1991100000","1991年度","14209","（旧）神奈川県 相模原市","","***","2661","***","2851.9","1790.0","422.0","414.0","722.0"
"1991100000","1991年度","15201","（旧）新潟県 新潟市","","***","13107","***","2951.0","2128.1","647.0","771.0","1328.0"
"1991100000","1991年度","22202","（旧）静岡県 浜松市","","***","18175","***","1776.7","3242.9","204.7","764.0","1339.0"
"1991100000","1991年度","43201","（旧）熊本県 熊本市","","***","13163","***","6057.0","1924.3","0.0","699.0","1260.0"
"1990100000","1990年度","14209","（旧）神奈川県 相模原市","","***","2661","***","2851.9","1790.0","422.0","414.0","722.0"
"1990100000","1990年度","15201","（旧）新潟県 新潟市","","***","13242","***","2880.0","2117.0","626.0","769.0","1316.0"
"1990100000","1990年度","22202","（旧）静岡県 浜松市","","***","18049","***","1775.0","3112.0","205.0","758.0","1190.0"
"1990100000","1990年度","43201","（旧）熊本県 熊本市","","***","13163","***","6057.0","1924.3","0.0","699.0","1260.0"
"1989100000","1989年度","14209","（旧）神奈川県 相模原市","","***","2662","***","2850.9","1789.0","422.0","414.0","722.0"
"1989100000","1989年度","15201","（旧）新潟県 新潟市","","***","12959","***","2880.0","2117.0","626.0","769.0","1316.0"
"1989100000","1989年度","22202","（旧）静岡県 浜松市","","***","18049","***","1775.0","3112.0","205.0","758.0","1190.0"
"1989100000","1989年度","43201","（旧）熊本県 熊本市","","***","7992","***","5519.5","1759.2","0.0","689.0","1212.0"
"1988100000","1988年度","14209","（旧）神奈川県 相模原市","","***","2709","***","2844.9","1784.0","395.0","408.0","719.0"
"1988100000","1988年度","15201","（旧）新潟県 新潟市","","***","13242","***","2880.0","2117.0","626.0","769.0","1316.0"
"1988100000","1988年度","22202","（旧）静岡県 浜松市","","***","18049","***","1775.0","3112.0","205.0","758.0","1190.0"
"1988100000","1988年度","43201","（旧）熊本県 熊本市","","***","7992","***","5519.5","1759.2","0.0","689.0","1212.0"
"1987100000","1987年度","14209","（旧）神奈川県 相模原市","","***","2709","***","2844.9","1784.0","395.0","408.0","719.0"
"1987100000","1987年度","15201","（旧）新潟県 新潟市","","***","13258","***","2880.0","2117.0","626.0","769.0","1300.0"
"1987100000","1987年度","22202","（旧）静岡県 浜松市","","***","18049","***","1775.0","3112.0","205.0","758.0","1190.0"
"1987100000","1987年度","43201","（旧）熊本県 熊本市","","***","8006","***","5504.2","1756.4","0.0","685.0","1221.0"
"1986100000","1986年度","14209","（旧）神奈川県 相模原市","","***","2709","***","2844.9","1784.0","395.0","408.0","719.0"
"1986100000","1986年度","15201","（旧）新潟県 新潟市","","***","13189","***","2880.0","2117.0","676.0","769.0","1319.0"
"1986100000","1986年度","22202","（旧）静岡県 浜松市","","***","18055","***","1769.0","3112.0","205.0","758.0","1190.0"
"1986100000","1986年度","43201","（旧）熊本県 熊本市","","***","8006","***","5504.2","1756.4","0.0","685.0","1221.0"
"1985100000","1985年度","14209","（旧）神奈川県 相模原市","","***","2709","***","2849.9","1814.0","395.0","398.0","694.0"
"1985100000","1985年度","15201","（旧）新潟県 新潟市","","***","13189","***","2880.0","2117.0","676.0","769.0","1319.0"
"1985100000","1985年度","22202","（旧）静岡県 浜松市","","***","18303","***","1717.0","3072.0","15.0","730.0","1202.0"
"1985100000","1985年度","43201","（旧）熊本県 熊本市","","***","8005","***","5504.2","1756.4","0.0","685.0","1221.0"
