,ele_ID,kokuji_ymd,pref_muni
155,京丹波町議会議員選挙（2005年11月20日投票）,20051115.0,京都府京丹波町
196,南丹市議会議員選挙（2006年02月19日投票）,20060212.0,京都府南丹市
180,嬉野市議会議員選挙（2006年02月05日投票）,20060129.0,佐賀県嬉野市
145,新温泉町議会議員選挙（2005年11月13日投票）,20051108.0,兵庫県新温泉町
162,多可町議会議員選挙（2005年11月27日投票）,20051122.0,兵庫県多可町
168,紀の川市議会議員選挙（2005年12月11日投票）,20051204.0,和歌山県紀の川市
185,有田川町議会議員選挙（2006年02月05日投票）,20060131.0,和歌山県有田川町
201,ときがわ町議会議員選挙（2006年02月26日投票）,20060221.0,埼玉県ときがわ町
122,由布市議会議員選挙（2005年10月30日投票）,20051023.0,大分県由布市
132,南三陸町議会議員選挙（2005年11月06日投票）,20051101.0,宮城県南三陸町
184,美里町議会議員選挙（2006年02月05日投票）,20060131.0,宮城県美里町
191,美郷町議会議員選挙（2006年02月12日投票）,20060207.0,宮崎県美郷町
157,射水市議会議員選挙（2005年11月27日投票）,20051120.0,富山県射水市
160,甲州市議会議員選挙（2005年11月27日投票）,20051120.0,山梨県甲州市
209,奥州市議会議員選挙（2006年03月19日投票）,20060312.0,岩手県奥州市
126,吉賀町議会議員選挙（2005年10月30日投票）,20051025.0,島根県吉賀町
135,宮古島市議会議員選挙（2005年11月13日投票）,20051106.0,沖縄県宮古島市
203,愛荘町議会議員選挙（2006年03月05日投票）,20060228.0,滋賀県愛荘町
131,氷川町議会議員選挙（2005年11月06日投票）,20051101.0,熊本県氷川町
206,宮若市議会議員選挙（2006年03月19日投票）,20060312.0,福岡県宮若市
146,会津美里町議会議員選挙（2005年11月13日投票）,20051108.0,福島県会津美里町
151,雲仙市議会議員選挙（2005年11月20日投票）,20051113.0,長崎県雲仙市
114,安曇野市議会議員選挙（2005年10月23日投票）,20051016.0,長野県安曇野市
127,飯綱町議会議員選挙（2005年10月30日投票）,20051025.0,長野県飯綱町
144,長和町議会議員選挙（2005年11月13日投票）,20051108.0,長野県長和町
147,筑北村議会議員選挙（2005年11月13日投票）,20051108.0,長野県筑北村
163,木曽町議会議員選挙（2005年11月27日投票）,20051122.0,長野県木曽町
102,川根本町議会議員選挙（2005年10月16日投票）,20051011.0,静岡県川根本町
123,牧之原市議会議員選挙（2005年10月30日投票）,20051023.0,静岡県牧之原市
188,三豊市議会議員選挙（2006年02月12日投票）,20060205.0,香川県三豊市
172,仁淀川町議会議員選挙（2006年01月22日投票）,20060117.0,高知県仁淀川町
119,北栄町議会議員選挙（2005年10月23日投票）,20051018.0,鳥取県北栄町
67,日置市議会議員選挙（2005年05月29日投票）,20050522.0,鹿児島県日置市
134,いちき串木野市議会議員選挙（2005年11月13日投票）,20051106.0,鹿児島県いちき串木野市
159,南さつま市議会議員選挙（2005年11月27日投票）,20051120.0,鹿児島県南さつま市
161,霧島市議会議員選挙（2005年11月27日投票）,20051120.0,鹿児島県霧島市
189,志布志市議会議員選挙（2006年02月12日投票）,20060205.0,鹿児島県志布志市
1408,南九州市議会議員選挙（2007年12月23日投票）,20071216.0,鹿児島県南九州市
1583,伊佐市議会議員選挙（2008年11月30日投票）,20081123.0,鹿児島県伊佐市
1934,糸島市議会議員選挙（2010年02月14日投票）,20100207.0,福岡県糸島市
3020,大槌町議会議員選挙（2011年08月28日投票）,20110823.0,岩手県大槌町
3044,陸前高田市議会議員選挙（2011年09月11日投票）,20110904.0,岩手県陸前高田市
3116,葛尾村議会議員選挙（2011年11月20日投票）,20111110.0,福島県葛尾村
3117,広野町議会議員選挙（2011年11月20日投票）,20111110.0,福島県広野町
3118,川内村議会議員選挙（2011年11月20日投票）,20111110.0,福島県川内村
3119,双葉町議会議員選挙（2011年11月20日投票）,20111110.0,福島県双葉町
3120,大熊町議会議員選挙（2011年11月20日投票）,20111110.0,福島県大熊町
3185,富岡町議会議員選挙（2012年03月25日投票）,20120315.0,福島県富岡町
3200,矢祭町議会議員選挙（2012年03月25日投票）,20120320.0,福島県矢祭町
4938,矢祭町議会議員選挙（2016年03月27日投票）,20160322.0,福島県矢祭町
6676,矢祭町議会議員選挙（2020年03月22日投票）,20200317.0,福島県矢祭町
